Income,Recency,Customer_Days,Total_Spending,Total_Purchases,Cluster,Segment,Recommendation,Strategy,Channels,Offers,Goal,Customer_Review,Predicted_Sentiment
58138.0,58,4951,1617,25,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,"Here's how my star rating scale works:  1 = water, 10 = perfect robust butter taste.<br /><br />Would you believe that butter itself, including clarified butter, has very little butter taste?  I rate real butter products a 2.<br />Most microwave popcorn is too buttery to the point of going back down the scale.  I rate their butter taste (if we could extract and bottle their butter flavor)  around a 4 for being far too intense.<br /><br />Wabash Buttery Topping, unfortunately, does taste like butter - meaning it has very little buttery taste.  This is why I have given it the same rating as actual butter.  If you like this product, I recommend making or buying clarified butter instead, to save money, since they taste the same.<br /><br />So my search continues for a good buttery topping.",Negative
46344.0,38,4401,27,6,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,"I have a friend with young twins and these purees were well recieved. They are in a nice pouch, which is cool since those glass jars do occasionally break. And they must have tasted good, as all the packets are gone now.",Positive
71613.0,26,4600,776,21,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"To Whom It May Concern, I just received today (11-29-2011) The Holiday Wreath Gift Basket and I have to tell you I was extremely disappointed at the very least. Whoever set the price for this product should be ashamed. ($24.95 plus shipping)<br />  I understand you're in the business to make a profit but this is a sin. Shame on me this time but I will never purchase a product from you in the future and I will pass the word along to",Negative
26646.0,26,4427,53,8,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,"I would like to stress, when you are REALLY hungry, these Chow Mein Noodles are a blessing! They really are darn good for a less than a dollar processed instant food, and they are easy to fix!<br /><br />I use these on the road as a truck driver when I get to the end of my shift and all restaurants are closed (2 or 3 am!), and usually add a packet of crushed red pepper left over from a previous pizza feeding. I think I should carry a can of oysters to chop up and add to this dish, that just might make it even better!<br /><br />The arrows or ""fill line"" is really hard to see, but is there. I made the mistake of adding a little above it once, and ended up with excess water/juice in my meal. I guess I didn't think the packet of sauce added that much more moisture, but once I just added water to the fill line, and let it sit for 5 minutes after the cooking time, all was better! :)",Positive
58293.0,94,4449,422,19,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,"This is the strongest cup of coffee I've had with my Keurig K-Cup brewer.  I was looking for strong and I got it!  I've tried A LOT of other K-Cup brands, this is by far the best.",Positive
62513.0,16,4581,716,22,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"If you're ever in the mood to just munch on something and not have it kill you in calories, this is it.<br />It has crunch and a little salt. Looking at other reviews, it IS a lot like eating air, but again,<br />for those of us who can't afford to eat a bag of chips, this is the best substitute. You're not going to<br />eat one and be like - WOW. This is the best snack I've ever had. BUT, it's the  best when you're looking to find something crunchy that you can eat while watching a movie. It works for me so well, that when my local BJ's stopped carrying them (which is a sign I know), I had to go directly to the vendor to find where I can get them. Now I have to buy at Trader Joe's and they're much more money now. Still - they work for me like nothing else.<br />I must add I only like the Sea Salt. I've only tried one other flavor and didn't like it. If anyone finds out where I can buy the huge economy sized bag that BJ's used to sell, PLEASE tell me! It's a great deal! I wish they didn't stop selling it...",Positive
55635.0,34,4881,590,21,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"Of all the K-Cups we have tried, and that's a bunch, this one is the hands down favorite for flavor and boldness.  This is the one the spoon stands up in, the jolt that brings you to life no matter what.  This is always our go to for strength and good flavor.<br /><br />This is certainly our favorite from Green Mountain!",Positive
33454.0,32,4705,169,10,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"It smelled like it, but this tastes closer to Rooibos than chocolate and hazelnut.  And I do not like Rooibos.",Negative
30351.0,19,4676,46,6,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"I received a sample courtesy Influenster, well... I didn't have the pleasure to taste it myself, because my son got ahold of it and started munching away!!  He absolutely loved this cookie :)  And that's saying alot, since my son can not stand raisins, period!  I guess I'm gonna have to add this one to my grocery list :)",Positive
5648.0,68,4396,49,2,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,"Although I have enjoyed many products from Omaha Steaks in the past, I didn't even know that the company sold a spiral sliced ham.<br /><br />It was terrific.  We ate every morsel.  No need to stand in line for a Honey Baked Ham!  Hope Amazon offers this products again for the holiday season this year.  Thanks Amazon!",Positive
